"filename", "language", "TOML", "Rust", "GLSL", "JSON", "Markdown", "SCSS", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-io-f512faed5127069f\lib-futures-io.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-macro-001502018acf339e\lib-futures-macro.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-macro-0f025f48e9f8d9b7\lib-futures-macro.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-sink-b6d038c194dc2052\lib-futures-sink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-sink-cc3ffbd3f694a9c8\lib-futures-sink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-task-0525d7d36e8db4b5\run-build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-task-797c92a56a682749\lib-futures-task.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-task-97300544caf9bd9c\build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-task-d76d6845e1b70dd3\build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-task-e3bff7e788ea87f8\lib-futures-task.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-util-189502fbf2f2deec\build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-util-220d6d0f2f2225fe\run-build-script-build-script-build.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-util-2556c58fe25cade5\lib-futures-util.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victo\OneDrive\Documentos\rust\VictorGerin.github.io\front_page\target\debug\.fingerprint\futures-util-2c4a3d1fd0c77d69\lib-futures-util.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
